scenario_id,miss_distance_km,risk_score,approx_pc,optimal_action_id,risk_level,time_to_tca_min
sc_00042_ba5cbb6f84,0.9619251135412968,0.9807614977291741,0.00012591583025569836,0,high,285.4054960166667
sc_00059_684b01ffdc,6.782463177391847,0.8643507364521631,2.055038534828009e-14,0,medium,223.95656236666667
sc_00076_510f51c915,0.39435408940861094,0.9921129182118278,0.00018502067444867346,0,critical,296.0893980166667
sc_00093_8159dcf6fa,1.15487956736629,0.9769024086526742,0.00010265877707292503,0,high,355.21182419999997
sc_00110_2e74ffebdb,22.935322343192194,0.5412935531361561,1.2208424027027163e-118,0,low,337.0626278
sc_00127_044a27987f,0.09175678813504129,0.9981648642372992,0.0001991400086479837,0,critical,50.61396735
sc_00144_5fbb538964,0.2604216281165527,0.9947915674376689,0.00019331307984927842,0,high,291.6114072
sc_00161_01f9c6ad8e,1.4880578676736742,0.9702388426465265,6.610008068552354e-05,0,high,184.64117003333334
sc_00178_cb4bcc0fb6,6.62435481545052,0.8675129036909897,5.930174501396909e-14,0,low,281.0730978333333
sc_00195_e10439040f,1.5896875348769695,0.9682062493024606,5.6531074887329226e-05,0,medium,41.33562821666667
sc_00212_c41e3979a8,3.0649268318840774,0.9387014633623184,1.825399324429867e-06,0,medium,218.94344948333335
sc_00229_10d147b80e,0.36743466289583304,0.9926513067420834,0.0001869273438017777,0,critical,320.8288506
sc_00246_29bcb96f64,0.7393344940276871,0.9852133101194462,0.0001521606624700102,0,high,113.29545424999999
sc_00263_a8b39a173a,0.36885109537785,0.992622978092443,0.0001868299057763447,0,high,141.30138004999998
sc_00280_752b53285c,6.096794899633021,0.8780641020073396,1.6991570327324035e-12,0,medium,359.1941368166666
sc_00297_a62cb34227,14.639094401941184,0.7072181119611762,5.892722910513826e-51,0,low,54.601536366666664
sc_00314_e1c5cadf67,1.4683984567536394,0.9706320308649272,6.804900834679655e-05,0,high,334.43891741666664
sc_00331_91cba83e74,17.0579625193015,0.65884074961397,1.3276528898679664e-67,0,low,142.19641756666667
sc_00348_b83b56de29,1.3249927948877525,0.973500144102245,8.313802594637454e-05,0,high,100.02900015
sc_00365_d0ed0e3832,1.5675103210084973,0.96864979357983,5.854501294775762e-05,0,high,280.52192138333334
sc_00382_6f1f59df8b,1.1216694520629942,0.9775666109587401,0.00010661338775369426,0,high,117.89662675
sc_00399_fd9340abfb,5.976878793289042,0.8804624241342192,3.504240652512316e-12,0,medium,254.83264003333335
sc_00416_e08ed7a388,0.2004967208585011,0.99599006558283,0.0001960010298896959,0,critical,30.738685200000003
sc_00433_4b92ecb329,0.2438411218357858,0.9951231775632843,0.00019412282898747312,0,critical,152.02159936666666
sc_00450_cf969228f7,0.2327572448344878,0.9953448551033103,0.00019463618783519974,0,high,192.4787092
sc_00467_3a15066fb5,26.66082384161643,0.46678352316767135,9.295301575265344e-159,0,low,204.70725096666666
sc_00484_0d2d9bed19,7.411988209334715,0.8517602358133057,2.3585105516883165e-16,0,medium,48.565635416666666
sc_00501_50d7c4acf3,27.384827812229773,0.45230344375540454,2.9668858913442554e-167,0,low,358.8206983333333
sc_00518_f760e73ee1,37.3566348006977,0.25286730398604607,1.9877780908730266e-307,0,low,101.16081065
sc_00535_c03f0fb607,0.5946331834172338,0.9881073363316554,0.00016757662976807247,0,high,354.5932771833333
sc_00552_c0c1a882bb,0.6142500930782752,0.9877149981384346,0.00016560155738353514,0,high,70.37677755
sc_00569_e7b9b826e7,0.07814199498207605,0.9984371601003584,0.00019937043787304773,0,critical,294.7359044166667
sc_00586_e823e29d7b,4.740761216813858,0.9051847756637228,2.637121078573446e-09,0,medium,111.32556315000001
sc_00603_244c39798f,3.6634585690425876,0.9267308286191482,2.4375881816736864e-07,0,medium,95.41360226666667
sc_00620_7d8b46df89,4.232573221659712,0.9153485355668057,2.577822791542162e-08,0,medium,333.2314775166667
sc_00637_e8bcaca776,11.434321797442427,0.7713135640511515,8.188198667440847e-33,0,low,158.61123751666668
sc_00654_3da5f76474,39.69819556195047,0.20603608876099055,0.0,0,low,136.71441123333335
sc_00671_6b7830d50a,7.830230599553449,0.843395388008931,9.738121021250164e-18,0,medium,174.50037608333332
sc_00688_a6969eb8b0,21.8180179659883,0.563639640680234,8.782330369363445e-108,0,low,30.3938791
sc_00705_71cc79d4ce,0.299984108094898,0.994000317838102,0.00019118214991352756,0,high,184.3234235666667
sc_00722_2794d5b11e,7.275104648254443,0.8544979070349111,6.443942696466705e-16,0,medium,185.3264721
sc_00739_af0e90f2b3,1.5009845218429656,0.9699803095631407,6.483546419457878e-05,0,high,278.07451523333333
sc_00756_aa34e859c7,0.6715544133494753,0.9865689117330105,0.00015961222080033364,0,high,118.20384883333332
sc_00773_29ac2caf04,7.130474685183728,0.8573905062963254,1.8261145623913742e-15,0,medium,49.794126649999995
sc_00790_51d0523c66,1.8003703769332022,0.963992592461336,3.955581351527243e-05,0,high,262.09731605
